filename,trait,label1,label2
C3_BREAST_EXALLC.list,Breast Cancer,Cancer_Reproductive_System,FinnGen
C3_BRAIN_EXALLC.list,Brain Cancer,Cancer_Nervous_System,FinnGen
C3_COLON_EXALLC.list,Colon Cancer,Cancer_Colon,FinnGen
C3_COLORECTAL_ADENO_EXALLC.list,Colorectal Adenocarcinoma Cancer,Cancer_Digestive_System,FinnGen
C3_COLORECTAL_NEUROENDO_EXALLC.list,Colorectal Neuroendocrine Tumor,Cancer_Digestive_System,FinnGen
C3_MANTLE_CELL_LYMPHOMA_EXALLC.list,Mantle Cell Lymphoma,Cancer_Lymphoma,FinnGen
C3_MARGINAL_ZONE_LYMPHOMA_EXALLC.list,Marginal Zone Lymphoma,Cancer_Lymphoma,FinnGen
C3_MELANOMA_SKIN_EXALLC.list,Melanoma Skin Cancer,Cancer_Melanoma,FinnGen
E4_HYPERLIPNAS.list,Hyperlipidemia,MC_Metabolic,FinnGen
E4_OBESITY.list,Obesity,MC_Metabolic,FinnGen
F5_ADHD.list,ADHD,Psy_Neurodevelopmental,FinnGen
F5_ALZHDEMENT.list,Alzheimer's,Psy_Cognitive,FinnGen
F5_ANXIETY.list,Anxiety,Psy_AnxietyStress,FinnGen
F5_BIPO.list,Bipolar,Psy_MoodDisorder,FinnGen
F5_DEMENTIA.list,Dementia,Psy_Cognitive,FinnGen
F5_DEPRESSION_PSYCHOTIC.list,Depression,Psy_MoodDisorder,FinnGen
F5_OCD.list,Obsessive Compulsive Disorder,Psy_AnxietyStress,FinnGen
F5_SCHIZPER.list,Schizophrenia,Psy_PsychoticDisorder,FinnGen
FG_CARDMYO.list,Cardiomyopathy,MC_Cardiovascular,FinnGen
FG_CVD.list,Cardiovascular Disease,MC_Cardiovascular,FinnGen
GOUT_IDIO,Idiopathic gout,MC_Gout,FinnGen
GOUT_STRICT.list,Gout,MC_Gout,FinnGen
G6_PARKINSON.list,Parkinson's Disease,Psy_nervous,FinnGen
I9_HEARTFAIL_AND_CHD.list,Heart Failure and Coronary Heart Disease,MC_Cardiovascular,FinnGen
I9_HEARTFAIL_AND_HYPERTCARDIOM.list,Heart Failure and Hypertensive Cardiomyopathy,MC_Cardiovascular,FinnGen
I9_HYPTENS.list,Hypertension,MC_Cardiovascular,FinnGen
I9_HYPERTROCARDMYOP.list,hypertrophic cardiomyopathy,MC_Cardiovascular,FinnGen
I9_HYPTENSEC.list,Secondary hypertension,MC_Cardiovascular,FinnGen
KRA_PSY_AUTISM_EXMORE.list,Autism Spectrum Disorder,Psy_PsychoticDisorder,FinnGen
KRA_PSY_TIC.list,Tourette Syndrome,Psy_AnxietyStress,FinnGen
L12_PSORI_GUTTATE.list,Guttate Psoriasis,Immuno_PsO,FinnGen
