filename,trait,label1,label2
C3_BREAST_EXALLC.list,Breast Cancer,Cancer,FinnGen
C3_BRAIN_EXALLC.list,Brain Cancer,Cancer,FinnGen
C3_COLON_EXALLC.list,Colon Cancer,Cancer,FinnGen
C3_COLORECTAL_ADENO_EXALLC.list,Colorectal Adenocarcinoma Cancer,Cancer,FinnGen
C3_COLORECTAL_NEUROENDO_EXALLC.list,Colorectal Neuroendocrine Tumor,Cancer,FinnGen
C3_MANTLE_CELL_LYMPHOMA_EXALLC.list,Mantle Cell Lymphoma,Cancer,FinnGen
C3_MARGINAL_ZONE_LYMPHOMA_EXALLC.list,Marginal Zone Lymphoma,Cancer,FinnGen
C3_MELANOMA_SKIN_EXALLC.list,Melanoma Skin Cancer,Cancer,FinnGen
E4_HYPERLIPNAS.list,Hyperlipidemia,MC,FinnGen
E4_OBESITY.list,Obesity,MC,FinnGen
F5_ADHD.list,ADHD,Psy,FinnGen
F5_ALZHDEMENT.list,Alzheimer's,Psy,FinnGen
F5_ANXIETY.list,Anxiety,Psy,FinnGen
F5_BIPO.list,Bipolar,Psy,FinnGen
F5_DEMENTIA.list,Dementia,Psy,FinnGen
F5_DEPRESSION_PSYCHOTIC.list,Depression,Psy,FinnGen
F5_OCD.list,Obsessive Compulsive Disorder,Psy,FinnGen
F5_SCHIZPER.list,Schizophrenia,Psy,FinnGen
FG_CARDMYO.list,Cardiomyopathy,MC,FinnGen
FG_CVD.list,Cardiovascular Disease,MC,FinnGen
GOUT_IDIO,Idiopathic gout,MC,FinnGen
GOUT_STRICT.list,Gout,MC,FinnGen
G6_PARKINSON.list,Parkinson's Disease,Psy,FinnGen
I9_HEARTFAIL_AND_CHD.list,Heart Failure and Coronary Heart Disease,MC,FinnGen
I9_HEARTFAIL_AND_HYPERTCARDIOM.list,Heart Failure and Hypertensive Cardiomyopathy,MC,FinnGen
I9_HYPTENS.list,Hypertension,MC,FinnGen
I9_HYPERTROCARDMYOP.list,hypertrophic cardiomyopathy,MC,FinnGen
I9_HYPTENSEC.list,Secondary hypertension,MC,FinnGen
KRA_PSY_AUTISM_EXMORE.list,Autism Spectrum Disorder,Psy,FinnGen
KRA_PSY_TIC.list,Tourette Syndrome,Psy,FinnGen
L12_PSORI_GUTTATE.list,Guttate Psoriasis,Immuno,FinnGen
L12_PSORI_VULG.list,Psoriasis Vulgaris,Immuno,FinnGen
M13_MCTD.list,Mixed Connective Tissue Disease,Immuno,FinnGen
M13_PSORIARTH.list,Psoriatic Arthritis,Immuno,FinnGen
M13_SJOGREN.list,Sjogren's Syndrome,Immuno,FinnGen
R18_ANOREXIA.list,Anorexia Nervosa,Psy,FinnGen
RHEUMA_SEROPOS_STRICT.list,Seropositive Rheumatoid Arthritis Strict,Immuno,FinnGen
SLE_FG.list,Systemic Lupus Erythematosus,Immuno,FinnGen
T1D.list,Type 1 Diabetes,Immuno,FinnGen
T2D.list,Type 2 Diabetes,MC,FinnGen
C3_BONE_CARTILAGE_EXALLC.list,Bone Cancer,Cancer,FinnGen
C3_BREAST_ERNEG_EXALLC.list,Breast Cancer ER-negative,Cancer,FinnGen
C3_BREAST_ERPLUS_EXALLC.list,Breast Cancer ER-positive,Cancer,FinnGen
C3_COLON_ADENO_EXALLC.list,Colon Adenomas,Cancer,FinnGen
C3_COLORECTAL_EXALLC.list,Colorectal Cancer,Cancer,FinnGen
C3_MELANOMA_EXALLC.list,Melanoma Cancer,Cancer,FinnGen
